de,en,example,tags,notes
der Apfel,apple,"Ich esse einen Apfel.","food,A1"
trinken,to drink,"Ich trinke Wasser.","verb,A1"
groß,big,"Das Haus ist groß.","adjective,A1"
die Banane,banana,"Die Banane ist gelb.","food,A1"
lesen,to read,"Er liest ein Buch.","verb,A1"
klein,small,"Die Maus ist klein.","adjective,A1"
das Brot,bread,"Wir kaufen Brot.","food,A1"
schreiben,to write,"Sie schreibt einen Brief.","verb,A1"
schnell,fast,"Das Auto ist schnell.","adjective,A1"
die Milch,milk,"Ich mag Milch.","food,A1"
