de,en,example,tags,notes
die Miete,rent,"Die Miete für diese Wohnung ist sehr hoch.",,
sich beschäftigen,"to be busy with","Ich muss mich mit meiner Arbeit beschäftigen.",,
der Vordergrund,foreground,"Im Vordergrund des Bildes steht ein Baum.",,
der Hintergrund,background,"Im Hintergrund kann man die Berge sehen.",,
der Alltag,"everyday life","Mein Alltag ist oft sehr hektisch.",,
schaden,"to harm","Rauchen schadet der Gesundheit.",,
der Teller,plate,"Der Teller ist leer.",,
das Geschirr,dishes,"Nach dem Essen müssen wir das Geschirr spülen.",,
das Selbstgefühl,"self-esteem","Ein Lob kann das Selbstgefühl stärken.",,
verbringen,"to spend time","Wir verbringen unseren Urlaub am Meer.",,
vermissen,"to miss","Ich vermisse meine Familie.",,
Schweden,Sweden,"Schweden ist ein skandinavisches Land.",,
Ungarn,Hungary,"Budapest ist die Hauptstadt von Ungarn.",,
wählen,to choose,"Du musst eine Option wählen.",,
die Gewöhnung,habit,"Rauchen ist eine schlechte Gewöhnung.",,
die Nachricht,message,"Ich habe eine Nachricht von dir erhalten.",,
stehlen,to steal,"Er wurde beschuldigt, ein Auto zu stehlen.",,
vorbereitet,prepared,"Ich bin auf die Prüfung gut vorbereitet.",,
die Prüfung bestehen,"to pass the exam","Ich hoffe, ich werde die Prüfung bestehen.",,
die Tätigkeit,activity,"Seine tägliche Tätigkeit ist das Schreiben.",,
die Taube,pigeon,"Die Taube saß auf dem Dach.",,
schätzen,to appreciate,"Ich schätze deine Hilfe sehr.",,
müde,tired,"Ich bin sehr müde und möchte schlafen.",,
die Steuer,tax,"Jeder Bürger muss Steuern zahlen.",,
bestehen,to pass,"Er hat die Prüfung bestanden.",,
die Lösung,solution,"Wir haben eine Lösung für das Problem gefunden.",,
abgeben,to hand in,"Die Studenten müssen ihre Arbeiten morgen abgeben.",,
das Vorurteil,prejudice,"Wir sollten keine Vorurteile gegenüber anderen haben.",,
das Unternehmen,company,"Er arbeitet für ein großes Unternehmen.",,
umziehen,"to move house","Nächstes Jahr werden wir in eine neue Stadt umziehen.",,
das Werkzeug,tool,"Ein Hammer ist ein nützliches Werkzeug.",,
der Betrug,fraud,"Er wurde wegen Betrugs verurteilt.",,
anschließend,afterwards,"Wir gehen ins Kino und anschließend essen.",,
